AdvisoryNumber,Date,Lat,Long,Wind,Pres,Movement,stormtypeName,Name,Received,Forecaster
1,"2020-05-16 22:00:00",28.4,-78.6,35,1008,"NNE at 13 MPH","Tropical Depression",One,"2020-05-16 16:42:36",Cangialosi
1A,"2020-05-17 01:00:00",28.9,-77.9,35,1006,"NE at 14 MPH","Tropical Depression",One,"2020-05-16 19:57:48",Stewart
2,"2020-05-17 04:00:00",29.4,-77.7,40,1006,"NNE at 13 MPH","Tropical Storm",Arthur,"2020-05-16 23:04:08",Stewart
2A,"2020-05-17 07:00:00",29.6,-77.7,40,1006,"NNE at 13 MPH","Tropical Storm",Arthur,"2020-05-17 01:39:29",Pasch
3,"2020-05-17 10:00:00",30,-77.6,40,1006,"NNE at 9 MPH","Tropical Storm",Arthur,"2020-05-17 04:50:51",Pasch
3A,"2020-05-17 13:00:00",30.3,-77.4,40,1002,"NNE at 9 MPH","Tropical Storm",Arthur,"2020-05-17 07:57:26",Brown
4,"2020-05-17 16:00:00",30.5,-77.4,45,1002,"NNE at 9 MPH","Tropical Storm",Arthur,"2020-05-17 10:48:38",Brown
4A,"2020-05-17 19:00:00",31,-77.3,45,1002,"NNE at 9 MPH","Tropical Storm",Arthur,"2020-05-17 13:57:45",Brown
5A,"2020-05-18 01:00:00",31.8,-77,45,1004,"NNE at 9 MPH","Tropical Storm",Arthur,"2020-05-17 19:57:49",Stewart/Berg
6,"2020-05-18 04:00:00",32.4,-76.9,45,1003,"NNE at 10 MPH","Tropical Storm",Arthur,"2020-05-17 23:06:45",Stewart
6A,"2020-05-18 07:00:00",33,-76.7,45,1004,"NNE at 12 MPH","Tropical Storm",Arthur,"2020-05-18 01:54:52",Beven
7,"2020-05-18 10:00:00",33.5,-76.6,45,1002,"NNE at 14 MPH","Tropical Storm",Arthur,"2020-05-18 04:39:38",Beven
7A,"2020-05-18 13:00:00",34.5,-75.9,45,1001,"NNE at 15 MPH","Tropical Storm",Arthur,"2020-05-18 08:03:02",Brown
8,"2020-05-18 16:00:00",35.1,-75.2,50,996,"NNE at 16 MPH","Tropical Storm",Arthur,"2020-05-18 10:45:34",Brown
8A,"2020-05-18 19:00:00",35.6,-74.7,50,993,"NE at 16 MPH","Tropical Storm",Arthur,"2020-05-18 13:45:28",Brown
